Name,State,Status,Managed By,Host,Cluster,Provisioned Space,Used Space,Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,Uptime,IP Address,VMware Tools Version Status,"VMware Tools Running 
Status",Host CPU,Host Mem,Guest Mem - %,DNS Name,EVC Mode,UUID,Notes,Alarm Actions,HA Protection,Needs Consolidation,VM Storage Policies Compliance,Encryption,TPM,VBS
(clone)psw_edc_4_2.0.0.178_172.19.37.178,Powered On,Normal,,tbn-com-hb09.hci.bri.co.id,TBN-COM-HB-CL01,516.11 GB,489.69 GB,Red Hat Enterprise Linux 5 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,16,1,26 days,,guestToolsCurrent|10338,Running,524 MHz,15.97 GB,3,vm-psw-edc-2,"Intel® ""Broadwell"" Generation",422ae4ea-9c40-1d92-f959-2b083e66b173,,Enabled,Protected,Not Required, --,No,false,false
(clone)psw_edc_4_2.0.0.178_local test,Powered On,Normal,,172.19.148.28,TBN-COM-HP-CL03,516.11 GB,245.71 GB,Red Hat Enterprise Linux 5 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,16,1,100 days,,guestToolsSupportedOld|10338,Running,416 MHz,12.19 GB,1,vm-psw-edc-2,,422ae4ea-9c40-1d92-f959-2b083e66b173,,Enabled,Protected,Not Required, --,No,false,false
172.18.141.145,Powered Off,Normal,com.vmware.vcDr,tbn-com-hb04.hci.bri.co.id,TBN-COM-HB-CL01,64.21 GB,0 B,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 and later (VM version 13),64 GB,0 B,16,0,0 second,,,Not running,0 Hz,0 B,0,,,4218739f-87cc-aaa2-1803-cc996eff0235,,Enabled,N/A,Not Required,"Compliant (Aug 27, 2021 8:08 AM)",No,false,false
172.18.41.135_DBSSO_LASSILASBRI_PROD,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.22 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,42185794-d40d-70b9-8f9d-1b68d85b7dab,,Enabled,N/A,Not Required,"Noncompliant (Aug 27, 2021 8:08 AM)",No,false,false
172.18.44.130_(Update P2V 4-Juni-2021),Powered On,Normal,,172.19.148.40,TBN-COM-HP-CL02,295.11 GB,295.11 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.7 and later (VM version 14),15.87 GB,0 B,12,0,70 days,,guestToolsSupportedOld|10240,Running,438 MHz,15.76 GB,3,WEBH2H1,,422a643a-3f80-e99d-ef96-1c36499e1a65,,Enabled,Protected,Not Required, --,No,false,false
172.18.44.212_NFS_MMS/EDCPRO,Powered Off,Unknown,,tbn-com-hb05.hci.bri.co.id,TBN-COM-HB-CL01,8.19 GB,0 B,Ubuntu Linux (64-bit),ESXi 6.7 and later (VM version 14),,0 B,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required,"Noncompliant (Aug 27, 2021 8:08 AM)",No,,false
172.18.44.96_DISPATCHER,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.22 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,4218d726-581a-d27a-3742-a2a5e0b885d6,,Enabled,N/A,Not Required,"Noncompliant (Aug 27, 2021 8:08 AM)",No,false,false
172.18.65.84_SKP-PKBL_50hp,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,8.2 GB,0 B,Debian GNU/Linux 7 (32-bit),ESXi 6.7 and later (VM version 14),8 GB,0 B,12,0,0 second,,,,0 Hz,0 B,0,,,42187c4c-c0e9-8cf8-9ade-55c948ea215f,,Enabled,N/A,Not Required,"Noncompliant (Aug 27, 2021 8:08 AM)",No,false,false
172.19.133.103_clone dari p2v,Powered Off,Normal,,172.19.146.190,TBN-CSTGLNV-CL06,58.49 GB,50.3 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,4,1,0 second,,guestToolsNotInstalled|0,Not running,0 Hz,0 B,0,,,420be9d7-2828-1ea3-165f-32f8f8479571,,Enabled,N/A,Not Required, --,No,false,false
172.19.133.36,Powered On,Normal,,172.19.146.121,TBN-CSTGLNV-CL06,58.47 GB,58.47 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,4,1,163 days,172.19.133.36,guestToolsSupportedOld|8295,Running,62 MHz,8.06 GB,3,EBNKTRAINING01.DEVEBANK.BRI.CO.ID,"Intel® ""Broadwell"" Generation",420bbb4d-7600-ddd8-f727-c19bd097779b,,Enabled,Protected,Not Required, --,No,false,false
