Name,State,Status,Managed By,Host,Cluster,Provisioned Space,Used Space,Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,Uptime,IP Address,VMware Tools Version Status,"VMware Tools Running 
Status",Host CPU,Host Mem,Guest Mem - %,DNS Name,EVC Mode,UUID,Notes,Alarm Actions,HA Protection,Needs Consolidation,VM Storage Policies Compliance,Encryption,TPM,VBS
(clone)psw_edc_4_2.0.0.178_172.19.37.178,Powered On,Normal,,tbn-com-hb04.hci.bri.co.id,TBN-COM-HB-CL01,516.11 GB,489.69 GB,Red Hat Enterprise Linux 5 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,16,1,105 days,,guestToolsCurrent|10338,Running,482 MHz,16.04 GB,1,vm-psw-edc-2,"Intel® ""Broadwell"" Generation",422ae4ea-9c40-1d92-f959-2b083e66b173,,Enabled,Protected,Not Required, --,No,false,false
(clone)psw_edc_4_2.0.0.178_local test,Powered On,Normal,,172.19.148.28,TBN-COM-HP-CL03,516.11 GB,245.71 GB,Red Hat Enterprise Linux 5 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,16,1,63 days,,guestToolsSupportedOld|10338,Running,372 MHz,9.97 GB,1,vm-psw-edc-2,,422ae4ea-9c40-1d92-f959-2b083e66b173,,Enabled,Protected,Not Required, --,No,false,false
1371,Powered Off,Unknown,,172.19.146.113,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
172.18.141.145,Powered Off,Normal,com.vmware.vcDr,tbn-com-hb04.hci.bri.co.id,TBN-COM-HB-CL01,64.21 GB,0 B,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 and later (VM version 13),64 GB,0 B,16,0,0 second,,,Not running,0 Hz,0 B,0,,,4218739f-87cc-aaa2-1803-cc996eff0235,,Enabled,N/A,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
172.18.41.135_DBSSO_LASSILASBRI_PROD,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.22 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,42185794-d40d-70b9-8f9d-1b68d85b7dab,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
172.18.44.130_(Update P2V 4-Juni-2021),Powered On,Normal,,172.19.148.40,TBN-COM-HP-CL02,295.11 GB,295.11 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.7 and later (VM version 14),15.87 GB,0 B,12,0,33 days,,guestToolsSupportedOld|10240,Running,372 MHz,15.62 GB,4,WEBH2H1,,422a643a-3f80-e99d-ef96-1c36499e1a65,,Enabled,Protected,Not Required, --,No,false,false
172.18.44.212_NFS_MMS/EDCPRO,Powered Off,Unknown,,tbn-com-hb05.hci.bri.co.id,TBN-COM-HB-CL01,8.19 GB,0 B,Ubuntu Linux (64-bit),ESXi 6.7 and later (VM version 14),,0 B,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,,false
172.18.44.96_DISPATCHER,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,32.22 GB,0 B,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),32 GB,0 B,24,0,0 second,,,,0 Hz,0 B,0,,,4218d726-581a-d27a-3742-a2a5e0b885d6,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
172.18.65.84_SKP-PKBL_50hp,Powered Off,Unknown,com.vmware.vcDr,tbn-com-hb02.hci.bri.co.id,TBN-COM-HB-CL01,8.2 GB,0 B,Debian GNU/Linux 7 (32-bit),ESXi 6.7 and later (VM version 14),8 GB,0 B,12,0,0 second,,,,0 Hz,0 B,0,,,42187c4c-c0e9-8cf8-9ade-55c948ea215f,,Enabled,N/A,Not Required,"Noncompliant (Jul 21, 2021 12:08 AM)",No,false,false
172.19.133.103_clone dari p2v,Powered Off,Normal,,172.19.146.190,TBN-CSTGLNV-CL06,58.49 GB,50.3 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,4,1,0 second,,guestToolsNotInstalled|0,Not running,0 Hz,0 B,0,,,420be9d7-2828-1ea3-165f-32f8f8479571,,Enabled,N/A,Not Required, --,No,false,false
172.19.133.36,Powered On,Normal,,172.19.146.121,TBN-CSTGLNV-CL06,58.46 GB,58.46 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.0 and later (VM version 11),8 GB,0 B,4,1,125 days,172.19.133.36,guestToolsSupportedOld|8295,Running,62 MHz,8.06 GB,1,EBNKTRAINING01.DEVEBANK.BRI.CO.ID,"Intel® ""Broadwell"" Generation",420bbb4d-7600-ddd8-f727-c19bd097779b,,Enabled,Protected,Not Required, --,No,false,false
172.21.20.10_(Update P2V 18-Maret-2021),Powered On,Normal,,172.19.148.41,TBN-COM-HP-CL03,168.1 GB,168.1 GB,Microsoft Windows Server 2003 (32-bit),ESXi 6.7 and later (VM version 14),29.94 GB,0 B,24,0,33 days,,guestToolsSupportedOld|10252,Running,3.2 GHz,30.11 GB,1,CMS_INT_GTI,,422af184-2b71-2253-0773-1bf7746a7d36,,Enabled,Protected,Not Required, --,No,false,false
2144,Powered Off,Unknown,,172.19.146.120,TBN-CSTGLNV-CL02,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
2390,Powered Off,Unknown,,172.19.146.167,TBN-CSTGLNV-CL02,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
794,Powered Off,Unknown,,172.19.146.148,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
864,Powered Off,Unknown,,172.19.146.115,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
868,Powered Off,Unknown,,172.19.146.148,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
870,Powered Off,Unknown,,172.19.146.115,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
986,Powered Off,Unknown,,172.19.146.115,TBN-CSTGLNV-CL05,,,,,,,,,0 second,,,,0 Hz,0 B,0,,,,,Enabled,N/A,Not Required, --,No,,
[PROD]P2v_ubuntu-webbrilink2_172.18.44.108_18agustus2020,Powered Off,Normal,,172.19.148.45,TBN-COM-HP-CL04,151.8 GB,135.94 GB,Ubuntu Linux (64-bit),ESXi 6.5 and later (VM version 13),15.63 GB,0 B,24,2,0 second,,guestToolsNotInstalled|0,Not running,0 Hz,0 B,0,,,422a615b-059d-c193-4772-7a7866212d43,,Enabled,N/A,Not Required, --,No,false,false
[PROD]P2v_ubuntu-webbrilink2_172.18.44.108_18agustus2020_LOCALTEST,Powered On,Normal,,tbn-com-hb01.hci.bri.co.id,TBN-COM-HB-CL01,293.13 GB,293.13 GB,Ubuntu Linux (64-bit),ESXi 6.5 and later (VM version 13),15.63 GB,0 B,24,2,54 days,,guestToolsNotInstalled|0,Not running,20 MHz,15.57 GB,1,,"Intel® ""Broadwell"" Generation",422a615b-059d-c193-4772-7a7866212d43,,Enabled,Protected,Not Required, --,No,false,false
[PROD]P2v_ubuntu-webbrilink2_172.18.44.108_18agustus2020_old,Powered On,Normal,,tbn-com-hb13.hci.bri.co.id,TBN-COM-HB-CL02,293.13 GB,293.13 GB,Ubuntu Linux (64-bit),ESXi 6.5 and later (VM version 13),15.63 GB,0 B,24,2,60 days,,guestToolsNotInstalled|0,Not running,20 MHz,15.75 GB,1,,"Intel® ""Broadwell"" Generation",422a615b-059d-c193-4772-7a7866212d43,,Enabled,Protected,Not Required, --,No,false,false
abc,Powered Off,Normal,,tbn-com-hb14.hci.bri.co.id,TBN-COM-HB-CL02,232.19 GB,3.66 GB,Red Hat Enterprise Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,8,1,0 second,,guestToolsNotInstalled|0,Not running,0 Hz,0 B,0,,,42186e73-acf2-6291-0a6b-0f273d59e41a,,Enabled,N/A,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Active Directory Production BRI1_172.19.97.117,Powered On,Normal,,tbn-com-hb15.hci.bri.co.id,TBN-COM-HB-CL02,316.11 GB,86.62 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.7 and later (VM version 14),16 GB,0 B,16,1,5 days,172.19.97.117,guestToolsSupportedNew|10346,Running,251 MHz,16.1 GB,10,SAPPDRCADDS01.HQ.BRI.co.id,"Intel® ""Broadwell"" Generation",422ade95-a7e1-b5d8-2e1a-a54c0aa5df64,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Active Directory Production BRI2_172.19.97.118,Powered On,Normal,,tbn-com-hb16.hci.bri.co.id,TBN-COM-HB-CL02,316.11 GB,87.07 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.7 and later (VM version 14),16 GB,0 B,16,1,10 days,172.19.97.118,guestToolsSupportedNew|10346,Running,209 MHz,16.09 GB,7,SAPPDRCADDS02.HQ.BRI.co.id,"Intel® ""Broadwell"" Generation",422a43f9-1077-3ca3-e105-201fab4c3d75,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Active Directory Production BRI3_172.19.97.119,Powered On,Normal,,tbn-com-hb13.hci.bri.co.id,TBN-COM-HB-CL02,316.11 GB,87.43 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.7 and later (VM version 14),16 GB,0 B,16,1,38 days,172.19.97.119,guestToolsSupportedNew|10346,Running,251 MHz,16.09 GB,15,SAPPDRCADDS03.HQ.BRI.co.id,"Intel® ""Broadwell"" Generation",422a3635-a878-bc75-feea-2ae82e87353d,,Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Active Directory_DC01_172.18.233.100_tidak_dipakai,Powered Off,Normal,,172.19.146.198,TBN-CSTGLNV-CL03,208.22 GB,66.23 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.7 and later (VM version 14),8 GB,0 B,8,1,0 second,,guestToolsSupportedNew|10346,Not running,0 Hz,0 B,0,,,422a33d7-fae4-6edd-cd05-5fec0a8554d2,,Enabled,N/A,Not Required, --,No,false,false
Aditional_AD_HCI_TBN,Powered On,Normal,,tbn-com-af03.hci.bri.co.id,TBN-MGT-AF-CL01,417.11 GB,394.56 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,8,2,500 days,"172.19.147.55, fe80::5c25:bf76:b76a:f98e",guestToolsSupportedOld|10249,Running,41 MHz,16.1 GB,6,ADDITIONALADTBN.hci.bri.co.id,"Intel® ""Broadwell"" Generation",420b0f7d-d898-98ce-88e9-d9836f21b870,"Win Server 2008 R2 Standard x64
====================
Disk C : 200 GB
Mem : 16 GB
CPU : 2x4

Include:
1. Setting NTP
2. McAfee
3. Zabbix Agent",Enabled,Protected,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
Aditional_AD_HCI_TBN clone,Powered Off,Normal,,tbn-com-hb04.hci.bri.co.id,TBN-COM-HB-CL01,417.22 GB,378.46 GB,Microsoft Windows Server 2008 R2 (64-bit),ESXi 6.0 and later (VM version 11),16 GB,0 B,8,0,0 second,,guestToolsSupportedOld|10249,Not running,0 Hz,0 B,0,ADDITIONALADTBN.hci.bri.co.id,,4218cf9d-9b32-eefe-9b3b-fb12b16906e4,"Win Server 2008 R2 Standard x64
====================
Disk C : 200 GB
Mem : 16 GB
CPU : 2x4

Include:
1. Setting NTP
2. McAfee
3. Zabbix Agent",Enabled,N/A,Not Required,"Compliant (Jul 21, 2021 12:08 AM)",No,false,false
